gesture,sample_id,timestamp,aX,aY,aZ,gX,gY,gZ,temp
idle,1767714402980,11116,0.077,0.014,0.928,18.466,3.061,0.710,23.40
idle,1767714402980,11131,0.078,0.007,0.925,18.618,3.061,0.611,23.40
idle,1767714402980,11147,0.072,0.012,0.932,18.450,3.061,0.756,23.35
idle,1767714402980,11162,0.068,0.011,0.933,18.588,2.901,0.603,23.49
idle,1767714402980,11177,0.076,0.010,0.940,18.519,3.015,0.443,23.35
idle,1767714402980,11194,0.075,0.009,0.925,18.573,2.962,0.656,23.45
idle,1767714402980,11209,0.073,0.007,0.930,18.641,3.176,0.595,23.45
idle,1767714402980,11225,0.071,0.012,0.928,18.504,2.840,0.687,23.35
idle,1767714402980,11240,0.075,0.012,0.931,18.382,2.947,0.412,23.40
idle,1767714402980,11255,0.073,0.012,0.928,18.458,3.046,0.725,23.31
idle,1767714402980,11272,0.072,0.008,0.923,18.580,2.901,0.664,23.31
idle,1767714402980,11287,0.072,0.012,0.927,18.626,3.145,0.611,23.40
idle,1767714402980,11302,0.073,0.002,0.932,18.260,2.817,0.573,23.40
idle,1767714402980,11318,0.079,0.007,0.923,18.489,3.122,0.443,23.35
idle,1767714402980,11334,0.073,0.008,0.924,18.641,2.908,0.641,23.45
idle,1767714402980,11350,0.072,0.009,0.926,18.733,2.977,0.542,23.35
idle,1767714402980,11365,0.074,0.012,0.932,18.588,2.893,0.634,23.45
idle,1767714402980,11380,0.072,0.008,0.925,18.634,2.939,0.626,23.45
