gesture,sample_id,timestamp,aX,aY,aZ,gX,gY,gZ,temp
idle,1767714402980,2522,0.073,0.013,0.923,18.489,3.023,0.443,23.26
idle,1767714402980,2537,0.069,0.012,0.934,18.580,3.023,0.580,23.21
idle,1767714402980,2552,0.071,0.012,0.933,18.527,2.756,0.756,23.12
idle,1767714402980,2569,0.077,0.008,0.921,18.634,2.626,0.504,23.26
idle,1767714402980,2584,0.076,0.010,0.930,18.580,2.924,0.519,23.07
idle,1767714402980,2599,0.072,0.009,0.933,18.573,3.160,0.611,23.21
idle,1767714402980,2615,0.072,0.010,0.935,18.580,3.092,0.641,23.21
idle,1767714402980,2630,0.078,0.010,0.930,18.542,2.840,0.443,23.26
idle,1767714402980,2646,0.072,0.011,0.920,18.359,3.137,0.550,23.21
idle,1767714402980,2662,0.078,0.007,0.930,18.542,2.786,0.687,23.21
idle,1767714402980,2677,0.075,0.011,0.926,18.466,3.069,0.718,23.17
idle,1767714402980,2693,0.073,0.007,0.926,18.435,2.931,0.626,23.17
idle,1767714402980,2708,0.102,0.011,0.982,19.298,4.542,0.702,23.21
idle,1767714402980,2723,0.074,0.005,0.933,18.344,3.061,0.519,23.21
idle,1767714402980,2739,0.061,0.007,0.939,18.443,3.046,0.786,23.26
idle,1767714402980,2755,0.071,0.011,0.933,18.496,2.885,0.679,23.26
idle,1767714402980,2770,0.075,0.010,0.922,18.565,2.863,0.496,23.21
idle,1767714402980,2786,0.081,0.008,0.927,18.389,3.038,0.527,23.21
idle,1767714402980,2801,0.078,0.010,0.922,18.443,3.053,0.511,23.17
idle,1767714402980,2817,0.072,0.007,0.934,18.275,3.061,0.626,23.26
idle,1767714402980,2832,0.076,0.015,0.929,18.382,3.069,0.664,23.31
idle,1767714402980,2848,0.072,0.008,0.930,18.779,2.947,0.779,23.26
idle,1767714402980,2864,0.074,0.006,0.928,18.687,2.947,0.656,23.26
idle,1767714402980,2879,0.073,0.010,0.939,18.595,3.076,0.351,23.31
idle,1767714402980,2894,0.083,0.004,0.921,18.519,3.031,0.611,23.21
idle,1767714402980,2910,0.073,0.009,0.925,18.427,2.947,0.779,23.17
idle,1767714402980,2926,0.076,0.012,0.919,18.588,2.679,0.588,23.17
idle,1767714402980,2941,0.070,0.014,0.933,18.473,3.076,0.733,23.17
idle,1767714402980,2957,0.075,0.007,0.928,18.626,2.885,0.656,23.21
idle,1767714402980,2972,0.073,0.005,0.935,18.511,3.107,0.695,23.26
idle,1767714402980,2988,0.076,0.012,0.922,18.527,3.183,0.779,23.26
idle,1767714402980,3003,0.073,0.004,0.926,18.573,2.855,0.588,23.21
idle,1767714402980,3019,0.072,0.016,0.929,18.595,2.969,0.641,23.31
idle,1767714402980,3035,0.075,0.007,0.930,18.427,2.954,0.626,23.26
idle,1767714402980,3050,0.069,0.011,0.922,18.565,2.962,0.534,23.26
idle,1767714402980,3065,0.078,0.011,0.926,18.366,3.000,0.687,23.31
idle,1767714402980,3081,0.070,0.008,0.927,18.496,3.076,0.710,23.31
idle,1767714402980,3096,0.072,0.006,0.932,18.504,3.061,0.603,23.26
idle,1767714402980,3112,0.077,0.010,0.931,18.557,3.031,0.565,23.21
idle,1767714402980,3128,0.075,0.009,0.929,18.672,2.947,0.649,23.21
idle,1767714402980,3143,0.067,0.010,0.929,18.641,2.992,0.618,23.17
idle,1767714402980,3159,0.079,0.013,0.928,18.489,2.870,0.771,23.17
idle,1767714402980,3174,0.079,0.012,0.926,18.748,3.290,0.588,23.21
idle,1767714402980,3189,0.077,0.008,0.923,18.634,3.038,0.695,23.21
idle,1767714402980,3206,0.076,0.011,0.933,18.649,2.832,0.656,23.07
idle,1767714402980,3221,0.077,0.013,0.927,18.626,2.809,0.626,23.26
idle,1767714402980,3236,0.075,0.007,0.919,18.718,2.878,0.649,23.31
idle,1767714402980,3252,0.072,0.012,0.924,18.603,2.992,0.664,23.21
idle,1767714402980,3267,0.071,0.007,0.932,18.573,3.153,0.450,23.26
idle,1767714402980,3282,0.077,0.004,0.928,18.603,2.802,0.511,23.26
idle,1767714402980,3299,0.073,0.007,0.925,18.511,3.038,0.580,23.21
idle,1767714402980,3314,0.078,0.008,0.932,18.443,2.985,0.763,23.26
idle,1767714402980,3330,0.073,0.010,0.923,18.588,2.870,0.634,23.17
idle,1767714402980,3345,0.075,0.015,0.934,18.534,3.069,0.603,23.21
idle,1767714402980,3360,0.070,0.011,0.932,18.550,2.809,0.611,23.26
idle,1767714402980,3376,0.075,0.009,0.927,18.466,2.901,0.756,23.26
idle,1767714402980,3392,0.078,0.007,0.927,18.626,2.954,0.603,23.21
idle,1767714402980,3407,0.076,0.015,0.931,18.557,2.855,0.718,23.17
idle,1767714402980,3423,0.078,0.011,0.936,18.443,3.084,0.542,23.17
idle,1767714402980,3438,0.073,0.009,0.930,18.420,3.084,0.595,23.26
idle,1767714402980,3453,0.079,0.010,0.922,18.420,3.130,0.863,23.21
idle,1767714402980,3469,0.074,0.010,0.934,18.382,2.916,0.740,23.17
idle,1767714402980,3485,0.076,0.002,0.925,18.611,3.153,0.519,23.17
idle,1767714402980,3501,0.071,0.010,0.923,18.519,3.053,0.679,23.21
idle,1767714402980,3516,0.076,0.009,0.931,18.565,3.023,0.771,23.21
idle,1767714402980,3531,0.072,0.010,0.928,18.595,3.130,0.771,23.17
idle,1767714402980,3547,0.076,0.008,0.929,18.466,2.977,0.664,23.17
idle,1767714402980,3562,0.072,0.012,0.932,18.550,2.863,0.595,23.31
idle,1767714402980,3578,0.072,0.007,0.930,18.557,3.084,0.710,23.21
idle,1767714402980,3594,0.074,0.010,0.930,18.595,3.069,0.641,23.26
idle,1767714402980,3609,0.075,0.006,0.934,18.672,2.939,0.557,23.21
idle,1767714402980,3624,0.072,0.007,0.934,18.611,3.160,0.519,23.21
idle,1767714402980,3640,0.073,0.014,0.930,18.588,2.832,0.634,23.17
idle,1767714402980,3656,0.077,0.010,0.930,18.634,2.870,0.618,23.26
idle,1767714402980,3672,0.072,0.010,0.928,18.550,2.954,0.748,23.21
idle,1767714402980,3687,0.069,0.005,0.932,18.481,2.710,0.611,23.17
idle,1767714402980,3702,0.075,0.005,0.924,18.534,3.038,0.702,23.26
